English,Vietnamese
Personal history of diseases and other diseases,
Delusions with symptoms of schizophrenia,
"Pregnant women and parasitic infections have been classified elsewhere but cause complications for pregnancy, delivery, and postpartum.",
Diabetic cataract (E10-E14 with a fourth order of .3),
Other staphylococcus is the cause of other diseases classified in chapter,
"Other forms of scoliosis, thoracolumbar region",
The disease of synovial and nonspecific tendon,
"Drug poisoning Carbonic anhydrase inhibitors, benzothladiazide, and other diuretics",
Other identified bilocular ophthalmomotor disorders,
Plasmodium vivax malaria with other complications,
"Adult spinal ossification, multiple spine sites",
Personal history allergic to other antibacterial agents,
Vaccination against jaundice,
Burn injury 30 - 39% of body surface,
Abnormal physiological development as expected,
Injuries caused by cold injuries in multiple body regions,
"A acute mental disorder in which there are diverse and unstable clinical presentations as described in F23.0, although unstable, often has several symptoms characteristic of schizophrenia for most of the time not present. If schizophrenia persists, this diagnosis should be changed as schizophrenia (F20.-).",
"Difficulty walking, unclassified elsewhere",
Problems related to unidentified psychosocial circumstances,
Diabetes Non-dependent insuline (with neurological complications),
"Systemic lesions of connective tissue, nonspecific",
Skin disorders and body temperature regulation of fetus and neonates,
"Inadvertent poisoning and inadvertent exposure to substance and psychotic drugs (hallucinogens), unclassified elsewhere",
Health monitoring and care of neglect children,
People who swing animals or people who walk on an injured traffic vehicle injured with motor vehicle have known other characteristics.,
Upper extremity artery aneurysms,
Burns injury 80 - 89% of body surface,
Cerebral artery lesions,
Physical screening for cardiovascular disorders,
"+ Abnormal  of ureteropelvic junction, ureteropelvic junction",
Complications of some early complications of trauma,
"Chronic nephritic syndrome, minimal glomerular abnormalities",
The situation of pus and necrosis of lower airways,
+ surgery and obstetric procedures (O75.4),
Other identified lesions in the shoulder and upper arm,
Fetal growth retardation and malnutrition,
- The nasopharynx ( anterior) ( posterior) of soft palate,
Injury  of unidentified vessels,
Other congenital anomalies of renal arteries,
"Scoliosis due to thoracic abnormalities, multiple spine sites",
Side effects of appropriate drugs or pharmaceuticals used correctly,
Behavioral and emotional disorders often begin in childhood and adolescence,
"A acute psychotic disorder in which hallucinations, delusions, or cognitive disorders are apparent but significantly variable, changing from day to day, even from day to day Emotional disorders with intense paralytic feelings of life or beats or anxiety or irritability are also common. The diversity and unstable feelings are characteristic of the entire clinical picture and the characteristics of these psychotic disorders do not provide the diagnosis",
"The child is not small or underweight compared to gestational age, presenting with signs of malnutrition such as dry skin, sloughing, and loss of subcutaneous fat.",
Maternal care for vaginal varices during pregnancy (O22.1),
+ Obstructive - non necrotic embolization,
Anti-receptor adrenalin not used in the treatment of asthma (T44.5),
Multiple cerebellar system atrophy [MSA-C],
Dengue fever without red flag findings,
Any condition in I83.9 both ulcer and inflammation,
"Progressive, minimal glomerular abnormalities",
"Other unknown accidents of 3-channel motor vehicle, not motor vehicle crashes",
Family history of blindness and visual loss,
"Other viral infections, unclassified",
Bleeding  due to prosthetic heart valves,
People outside the agricultural vehicle injured in tra tra tra tra traffic accident,
- Non-specific folic acid deficiency anemia,
Personal history of neurologic and sensory diseases,
"Lower extremity open wounds, unspecified range",
Malignant tumors with invasive lesions of the respiratory and intrathoracic organs,
Tubitis  according to classification status in O00-O07,
+ Dry syndrome [Sjogren] (M35.0),
Benign lipomas of other sites,
Myelopathy and periodontal tissue and unknown,
+ Sinus (any sinus)  no other identification (not mentioned bacterial and histologic confirmation),
"Neoplasms that are unknown or unknown the nature of the middle ear, respiratory and intrathoracic organs",
Excess in the trunk of undetermined grade,
Multiple superficial lesions in the lower leg,
"+ intracranial, infected spine or surgical spine (G08)",
Growth delay after malnutrition due to protein - energy deficiency (E45),
Superficial lesions of the lip and oral cavity,
"Nonspecific kyphosis, chest region",
Fractures of the wrist and hand,
"Nonspecific kyphosis, multiple spinal sites",
Lack of factor VIII with vascular wall damage (D68.0),
"Microscopic arthropathy after metabolic disorders that have been classified elsewhere, the legs",
"Other congenital deformities of the skull, face, and jaws",
+ Failure (acute) - according to classification status in O00-O07,
Abnormal maternal biochemical signs on prenatal examination,
Other specific infections in perinatal period,
Poisoning due to c c c (T61.2),
Other changes of male genitals,
Esophageal adhesion of the esophagus,
"+  coal  used in steam, traveler, barbecue meat cooking, or mobile (mobile).",
Symptoms and Signs related to language and voices,
+ wide ligament  according to classification status in O00-O07,
Other specific disorders in bone density and structure,
Speech disorders are characterized by frequent prolongation or repetition of sounds or verbs or words that are usually independently or stopped to arrhythmia of speech... It should be classified only when it is severe enough to interfere with speech involvement.,
The subtypes of disease markers in this chapter include:,
Ear- nose- throat in relation to accident,
Secondary malignant tumors are other locations and unidentified,
The goal of disc disc disc disc disc disc disc disc disc disc disc disc disc disc disc disc disc disc disc,
"Malignant tumor of small gastric curve, non-specific",
- Nitro and amino acid derivatives of benzen and isolates (T65.3),
Failure and elimination of unidentified organ and organ transplantation,
+ disease or lesions  unknown  of the spinal cord or meninges,
Late-onset Alzheimer disease,
"Malignant tumors of ribs, sternum, and clavicle",
The umbilical suspension in delivery of amniotic fluid,
"Dislocations, sprains, muscle tension involving the head and neck",
Toxicity of acid caustic acid and acid products,
The statistical status at T82.0 due to coronary artery and transplant valve,
Root compression and plexus in lumbar disc disease (M50-M51),
Other congenital infections and parasites,
Insulin-independent diabetes mellitus (with other identified complications),
"Complications due to prosthetic joint transplantation, transplantation, orthopedic (T84.-)",
Muscle deformity of head and face (Q67.0-Q67.4),
"Obstruction, closure and congenital colonic contraction",
Multiple cranial nerve paralysis in tumors (C00-D48),
Congenital malformation syndromes causing multiple system involvement (Q87.-),
Other identified myelopathy,
"A disorder is characterized by partial or complete loss of normal integrity between past memory, self-consciousness and temporary sensation, and control of body movements (see F44.-) but manifests as a consequence of a physical disorder.",
"Other infections are transmitted by animals to humans, not classified elsewhere",
Other specific diseases of biliary,
+ Insufficient rotation of the cecum and intestine,
Unspecified kidney disease other unspecified morphological lesions (N28.9),
"Osteoporosis in other diseases has been classified elsewhere, Many sites",
Falls caused by coving or other accidents of water vehicle,
Burn in the eyelids and periorbital area,
,"Đánh giá đặc điểm lâm sàng, cận lâm sàng của bệnh nhân viêm tai giữa có tràn dịch và V.a tại khoa Tai Mũi Họng  Bệnh viện Trung ương Thái Nguyên"
,"Đánh giá đặc điểm lâm sàng, cận lâm sàng của bệnh nhân tràn dịch tai giữa và V.A tại khoa Tai Mũi Họng - Bệnh viện Trung ương Thái Nguyên."
,Có mối liên quan giữa giãn mạch và rối loạn chức năng âm đạo.
,Tràn dịch tai giữa trên V a là bệnh lý thường gặp ở trẻ em.
,"Triệu chứng chính là viêm mũi, nghẹt mũi, ù tai."
,"Nội soi điển hình là màng nhĩ lõm, màu vàng hoặc bóng."
,Đo nhĩ lượng đồ và thính lực đồ giúp chẩn đoán chính xác mức độ rối loạn chức năng âm đạo.
,Phương pháp nghiên cứu: Mô tả tiến cứu có can thiệp lâm sàng.
,"Kết quả: Tuổi trung bình là 5,1."
,"Triệu chứng thực thể chủ yếu là ù tai (52,6%), viêm mũi, nghẹt mũi (65,8%), không có triệu chứng (23,7%)."
,"Nội soi: Nội soi thường gặp là màng nhĩ lõm, màu vàng hoặc bóng, V ở độ 3 (55,3%), độ 4 (34,2%), độ 1 (0%)."
,"Loại nhĩ lượng đồ: Type C (61%), Type B (32,2%)."
,"Loại As (6,8%), dạng Atlasic (50,8%), phẳng (32,2%)."
,"Phân tích hàm lượng đồng, chì, cadmi và kẽm trong rau má bằng phương pháp ICP-MS"
,"Trong nghiên cứu này, hàm lượng đồng, chì, cadmi và kẽm trong 15 mẫu rau má thu thập tại các tỉnh miền Bắc được xác định bằng ICP-MS. Kết quả của phương pháp bổ sung tiêu chuẩn cho thấy độ thu hồi của phương pháp đối với kim loại đồng, chì, cadmi và kẽm dao động từ 82,19% đến 109,65%."
,"Nồng độ đồng, chì, cadmi và kẽm trong 15 mẫu cây phân tích dao động từ 5,510 - 21,620 mg / kg, 0,481 - 0,628 mg / kg, 0,125 - 0,340 mg / kg, 14,370 - 36,830 mg / kg."
,"Kết quả nghiên cứu cho thấy hàm lượng đồng, chì, cadmi và kẽm trong 15 mẫu thực vật phân tích đều thấp hơn giới hạn cho phép của Tổ chức Y tế Thế giới (WHO) đối với dược liệu."
,Ứng dụng một số phần mềm phân tích barcode dna để xác định cây thuốc
,Việc xác định cây thuốc có mã vạch DNA ngày càng phổ biến do độ chính xác cao.
,"Để xác định sử dụng mã vạch DNA, các nhà nghiên cứu thường sử dụng phần mềm máy tính để phân tích và so sánh mã vạch DNA của các mẫu nghiên cứu với mã vạch có sẵn trên Genbank."
,"Do số liệu trình tự gen được công bố tăng nhanh, để tiến hành phân tích hiệu quả các dữ liệu này, phần mềm cần dễ sử dụng, có thể tính toán nhanh, chính xác và cung cấp nhiều phương pháp thống kê."
,"Trong nhóm phần mềm này, 3 chương trình phần mềm, bao gồm phần mềm BLAST trong NCBI, BioEdit v 7.0.5.2, MEGA 7, thường được sử dụng do đáp ứng các yêu cầu trên."
,Bài báo giới thiệu 3 chương trình phần mềm để xác định các loài cây thuốc với ví dụ minh hoạ về việc xác định các loài cây thuốc thuộc chi Opar (Talinum paniculatum) bằng mã vùng ITS.
,Kết quả nghiên cứu của bài báo cho thấy quy trình kết hợp 3 phần mềm để xác định cây thuốc bằng DNA cho kết quả chính xác nhất.
,Hiệu quả giảm nhạy cảm ngà bằng kem đánh răng P/S của công nhân công ty Havinco tại Hà Nội
,"Do đó, mức độ biểu hiện của các protein tế bào chủ này có thể làm tăng sự xâm nhập của vi rút ảnh hưởng đến các triệu chứng lâm sàng."
,"Các đặc điểm lâm sàng, cận lâm sàng của 297 bệnh nhân COVID-19 được tiếp cận, trình bày 52 mẫu dịch mũi họng được chọn ngẫu nhiên từ các bệnh nhân nặng và nhẹ, được so sánh biểu hiện RNA của ACE2 và TMPRSS2 bằng kỹ thuật realtime-PCR với các cặp mồi đặc hiệu."
,"Kết quả cho thấy TMPRSS2 nhưng không biểu hiện gen ACE2 trong niêm mạc mũi họng và một số chỉ số cận lâm sàng như CRP, PCT, Ferritin, D-Dimer, LDH có thể dự đoán mức độ nặng của bệnh nhân COVID-19 nhưng cần nghiên cứu thêm với cỡ mẫu lớn hơn."
,Nghiên cứu đặc điểm mô bệnh học và một số tế bào miễn dịch trong vi môi trường ung thư đại trực tràng được phẫu thuật tại Bệnh viện Trung ương Quân đội 108
,Mục tiêu: Đánh giá hiệu quả của kem đánh răng chứa tinh dầu P / S trong giảm nhạy cảm ngà ở người trưởng thành.
,Đối tượng và phương pháp: 69 người trưởng thành làm việc tại công ty HANVICO Hà Nội với 182 răng nhạy cảm được đưa vào nghiên cứu.
,"Chúng tôi tiến hành nghiên cứu tiến cứu, mô tả."
,"Kết quả: Sau 4 tuần can thiệp, tỷ lệ răng nhạy cảm giảm 82,4%."
,Tỷ lệ béo phì và đặc điểm của trẻ 6 và 7 tuổi tại thành phố Buôn Ma Thuột
,Nhận xét đặc điểm mô bệnh học của ung thư biểu mô đại trực tràng theo phân loại của WHO 2010.
,Mật độ thấp của tế bào CD68 dương tính thường thấy trong mô đệm khối u và mô đệm khối u nếu có di căn hạch.
,"Nếu không có di căn hạch, mật độ cao của tế bào CD68 dương tính thâm nhiễm cả mô đệm khối u và mô đệm khối u."
,"Sự khác biệt về tương quan giữa tế bào CD4, CD8 và CD68 dương tính với độ mô học, hình thái u, vị trí u và nhóm tuổi không có ý nghĩa thống kê."
,Kết luận: U chủ yếu ở trực tràng và mô bệnh học là ung thư biểu mô tuyến biệt hoá vừa.
,"Tỷ lệ xâm lấn thanh mạc và di căn hạch lần lượt là 45,7% và 31,5%."
,"Tỷ lệ tế bào CD4, CD8 dương tính cao ở nam nhiều hơn nữ và tỷ lệ tế bào CD68 dương tính cao ở giai đoạn T 1 - T 2 nhiều hơn T 3 - T 4."
,Mật độ tế bào CD68 dương tính thấp thường gặp hơn trong các trường hợp di căn hạch.
,"Xác định số lượng tế bào lympho T (CD 4, CD 8) và đại thực bào (CD 68) trong vi môi trường u tuyến đại trực tràng bằng hoá mô miễn dịch và so sánh với một số đặc điểm mô bệnh học."
,Đối tượng và phương pháp: Nghiên cứu trên 127 bệnh nhân ung thư đại trực tràng (trong đó có 50 bệnh nhân ung thư biểu mô tuyến được nhuộm hoá mô miễn dịch) được chẩn đoán tại Bệnh viện Trung ương Quân đội 108 từ tháng 10/2018 đến tháng 7/2019.
,"Kết quả: U chủ yếu gặp ở trực tràng (29,9%)."
,"Ung thư biểu mô tuyến gặp trong 85,8% trường hợp (UTBM tuyến biệt hoá vừa chiếm 84,4%), 45,7% trường hợp có xâm lấn thanh mạc; di căn hạch chiếm 31,5%."
,Mật độ tế bào CD8 dương cao trong tế bào u nest và trong mô đệm u thường gặp ở nam nhiều hơn nữ.
,"Ngược lại, mật độ tế bào CD4 dương tính cao ở tế bào u cao hơn ở nam giới so với nữ giới."
,"Ở giai đoạn T 1 - T 2, mật độ tế bào CD4 và CD68 dương tính cao thường gặp ở mô đệm khối u, trong khi mật độ tế bào CD68 dương tính cao chỉ gặp ở mô đệm khối u."
,"Ở giai đoạn T 3 - T 4, mật độ tế bào CD8 và CD68 dương tính thấp phổ biến hơn ở mô đệm khối u; mật độ tế bào CD68 dương tính thấp ở mô đệm khối u chiếm ưu thế."
,Đặc điểm lâm sàng rối loạn xử lý cảm giác ở trẻ rối loạn phổ tự kỷ
,"Mô tả tình trạng dinh dưỡng, tỷ lệ béo phì và đánh giá mối liên quan giữa khối mỡ cơ thể với chỉ số khối cơ thể của trẻ 6-7 tuổi tại Buôn Ma Thuột."
,"Phương pháp nghiên cứu: Nghiên cứu cắt ngang trên 198 trẻ, bao gồm 127 trẻ 6 tuổi và 71 trẻ 7 tuổi."
,Sử dụng tiêu chuẩn WHO 2007 để chẩn đoán thừa cân - béo phì.
,"Sử dụng phép kiểm định định tính cho các biến số định tính; phép kiểm T cho hai biến độc lập, hồi quy tuyến tính cho các biến số định lượng."
,"Kết quả: Tỷ lệ béo phì của mẫu nghiên cứu là 32,6%, tỷ lệ béo phì ở nhóm 6 tuổi là 33,1% và nhóm 7 tuổi là 31%."
,"Tỷ lệ béo phì ở nam là 33,6% và nữ là 31,0%."
,Có mối tương quan giữa BMI và PBF ở cả hai nhóm tuổi.
,"Ở nhóm 6 tuổi, phương trình hồi quy là BMI  10,78 + 0,257 * PBF, hệ số tương quan R  0,993."
,"Ở nhóm 7 tuổi, phương trình hồi quy là BMI  10,18 + 0,271 * PBF, hệ số tương quan R  0,926."
,Vai trò của FDG PET/CT trong đánh giá giai đoạn bệnh lymphôm mới chẩn đoán
,Rối loạn phổ tự kỷ (RLPTK) là một nhóm các rối loạn xuất hiện sớm trong thời thơ ấu.
,Rối loạn xử lý cảm giác - thính giác là phổ biến nhất và tỷ lệ rối loạn cảm giác cao rõ rệt ở nhóm tự kỷ nặng.
,"Do đó, cần phát hiện sớm và can thiệp sớm."
,"Các bất thường về cảm giác thường làm cho trẻ bị rối loạn phổ tự kỷ khó tiếp nhận, xử lý và đáp ứng với các kích thích cũng như khó điều trị."
,Mục tiêu: Mô tả đặc điểm lâm sàng rối loạn xử lý cảm giác ở trẻ rối loạn phổ tự kỷ.
,Đối tượng và phương pháp nghiên cứu: Nghiên cứu mô tả cắt ngang 75 trẻ rối loạn phổ tự kỷ điều trị tại Bệnh viện Nhi Trung ương từ tháng 8/2021 đến tháng 10/2022.
,"Kết quả: Đối tượng nghiên cứu chủ yếu là nam giới (85,3%); tuổi trung bình 34,92  8,589 tháng; nơi sinh sống chủ yếu ở thành thị (57,4%)."
,"Tuổi trung bình lúc chẩn đoán là 28,72  8,072 tháng."
,"Có đến 90,7% trẻ có ít nhất một rối loạn cảm giác, trong đó rối loạn xử lý cảm giác thính giác chiếm tỷ lệ cao nhất với 81,3%, thấp nhất là rối loạn xử lý cảm giác nội bộ với 20%."
,"Triệu chứng khởi phát thường gặp nhất là kỹ năng xã hội hạn chế với 74,7%."
,"Trẻ mắc ASD nặng có tỷ lệ mắc ASD cao hơn đáng kể với 95,2%."
,Nghiên cứu tác dụng hạ đường huyết của cao chiết lá ổi trồng tại Sơn La
,Mục tiêu của nghiên cứu này là khảo sát đặc điểm hình ảnh và vai trò của PET / CT trong đánh giá giai đoạn bệnh lymphôm mới được chẩn đoán.
,Đối tượng và phương pháp nghiên cứu: Nghiên cứu hồi cứu trên 50 bệnh nhân u lympho được chụp PET / CT trước điều trị tại Bệnh viện K và Bệnh viện Quân y 103 từ tháng 01/2018 đến tháng 01/2021.
,Tiêu chuẩn chẩn đoán phân giai đoạn được áp dụng theo Lugano 2015.
,"Thoát vị hoành bẩm sinh, cập nhật chẩn đoán trước sinh và sau sinh"
,"Lá xoài được chiết bằng phương pháp Soxhlet với ethanol 60%, dịch thu được được phân tán để loại bỏ dung môi dưới áp suất giảm."
,"Kết quả cho thấy khi sử dụng liều tối đa cho phép, không có chuột chết."
,"Thử nghiệm tác dụng hạ đường huyết trên chuột nhắt trắng đái tháo đường thu được kết quả: với liều 500 mg / kg cho hiệu quả điều trị tốt nhất, thậm chí tốt hơn so với thuốc đối chứng gliclazid, mức đường huyết giảm ngay sau 3 ngày, sau 21 ngày giảm còn 52,5% và đưa chỉ số đường huyết về bình thường."
,Đây là hướng mới trong việc sử dụng thuốc có nguồn gốc thực vật nói chung và lá Mango nói riêng.
,Kết quả sàng lọc ung thư cổ tử cung cho phụ nữ tại tỉnh hậu giang giai đoạn 2015-2019
,"Thoát vị hoành bẩm sinh là một khiếm khuyết phát triển của cơ hoành cho phép tạng trong ổ bụng thoát vị vào lồng ngực, tỷ lệ trẻ sơ sinh bị ảnh hưởng là 2,5  3,5 trên 10000 trẻ sinh sống."
,"Trẻ bị thoát vị hoành bẩm sinh thường liên quan đến các mức độ suy hô hấp khác nhau do thiểu sản phổi và tăng áp phổi, tỷ lệ tử vong là 20% - 60% ngay cả ở các nước phát triển."
,"Mục tiêu: 1) Mô tả cơ chế bệnh sinh và phương pháp chẩn đoán thoát vị hoành; 2) Cập nhật bằng chứng về can thiệp trước sinh, sau sinh và một số yếu tố liên quan."
,Một số yếu tố liên quan đến sức khoẻ tâm thần của điều dưỡng tại Bệnh viện Nhi Trung ương năm 2021
,"Nghiên cứu được tiến hành trên 9.001 phụ nữ từ 21-70 tuổi tại huyện Châu Thành A, huyện Thuỷ Thuỷ, huyện Long Mỹ và thị xã Long Mỹ, tỉnh Hậu Giang nhằm xác định thực trạng tổn thương cổ tử cung và một số yếu tố liên quan đến tổn thương cổ tử cung ở phụ nữ từ 21-70 tuổi tại tỉnh Hậu Giang."
,"Kết quả phát hiện 5.402 trường hợp nhiễm khuẩn phụ khoa, VIA (+) chiếm 570 trường hợp."
,"Tỷ lệ bất thường kết quả xét nghiệm PAP là 53 trường hợp, trong đó: ASCUS (3,9%), LSIL (1,8%), HSIL (0,9%), AGC (2,8%)."
,"Phụ nữ 30-39 tuổi có tỷ lệ VIA (+) cao nhất (9,1%)."
,Loại tổn thương tử cung thường gặp nhất trong nghiên cứu này là viêm cổ tử cung.
,"60,0% đối tượng nghiên cứu được hỗ trợ thuốc điều trị nhiễm khuẩn phụ khoa; 5,3% được hỗ trợ điều trị áp lạnh."
,"Đặc điểm lâm sàng, cận lâm sàng và thực trạng điều trị suy tim cấp tại Bệnh viện Tim Hà Nội"
,Mô tả các yếu tố ảnh hưởng đến sức khoẻ tâm thần của điều dưỡng tại Bệnh viện Nhi Trung ương năm 2021 dưới tác động của dịch COVID-19.
,Đối tượng và phương pháp nghiên cứu: Nghiên cứu mô tả cắt ngang sử dụng thang đo đánh giá biến cố (IES-R) và thang đo DASS 21 trên 280 điều dưỡng đang làm việc tại Bệnh viện Nhi Trung ương từ tháng 11 đến tháng 12 năm 2021.
,"Kết quả: 28,9% điều dưỡng có dấu hiệu rối loạn căng thẳng sau sang chấn Kết quả cho thấy điều dưỡng trực tiếp tham gia phòng chống dịch bệnh (OR 1,77; 95% CI: 1,14  2,16); tiếp xúc với bệnh nhân COVID-19 (OR 1,59; 95% CI: 1,13  2,72); Thời gian làm việc  48 giờ / tuần (OR 2,77; 95% CI: 1,14  2,16"
,Kết luận: Cần tư vấn và can thiệp tâm lý kịp thời cho điều dưỡng để giảm bớt lo lắng và cải thiện sức khoẻ tâm thần nói chung.
,Thực trạng kim loại nặng và hoá chất bảo vệ thực vật trong sữa chua tại thành phố Hồ Chí Minh năm 2020
,"Từ tháng 1/2018 đến tháng 12/2018, có 475 bệnh nhân nhập viện do suy tim cấp hoặc mất bù, nam chiếm 63,8% và nữ chiếm 36,2%."
,"Tuổi trung bình 69,1  13,8; 63,6% mới phát hiện suy tim; 41,4% EF 40  50% và 58,6% EF  40%; số ngày nằm viện 8,3  6,2 ngày (1  46 ngày); có 5 (1,1%) bệnh nhân tử vong trong bệnh viện; trong đó có 1 bệnh nhân tử vong trong 1 ngày do bệnh nặng."
,"Kết quả điều trị suy tim cấp tại Bệnh viện Tim Hà Nội khả quan với tỷ lệ xuất viện là 87,7%."
,Đặc điểm lâm sàng và xạ hình xương ở bệnh nhân ung thư biểu mô tế bào gan
,Xác định mức độ ô nhiễm kim loại nặng và hoá chất bảo vệ thực vật trong sữa chua tại thành phố Hồ Chí Minh năm 2020.
,Nồng độ thuỷ ngân không vượt giới hạn trên tất cả các mẫu thử nghiệm.
,"Nồng độ Carbaryl trong mẫu sản phẩm trong nước là 25,52  16,17 g / kg, trong mẫu nhập khẩu là 12,67  14,26 g / kg; nồng độ Endosulfan trong mẫu sản phẩm trong nước là 4,301  2,878 g / kg, trong mẫu nhập khẩu là 3,18  3,40 g / kg; Aldrin và Diosulfan trong mẫu sản phẩm trong nước là 4,301"
,Không có mẫu nào chứa hoá chất bảo vệ thực vật với nồng độ vượt giới hạn cho phép đối với cả sản phẩm trong nước và sản phẩm nhập khẩu.
,Chọn 60 sản phẩm phô mai thương mại phổ biến nhất trong khu vực nghiên cứu (dựa trên số liệu được báo cáo bởi cơ quan an toàn thực phẩm thành phố).
,Đánh giá mức độ ô nhiễm một số chỉ tiêu hoá học.
,"Nồng độ chì là 0,011  0,007 mg / kg, nồng độ Asen là 0,237  0,181 mg / kg, nồng độ cadimi là 0,481  0,371 mg / kg, nồng độ thuỷ ngân là 0,017  0,018 mg / kg đối với sản phẩm trong nước."
,"Nồng độ chì là 0,005  0,007 mg / kg, nồng độ Asen là 0,099  0,14 mg / kg, nồng độ Cadimi là 0,380  0,358 mg / kg, nồng độ Mercury là 0,019  0,018 mg / kg đối với sản phẩm nhập khẩu."
,Nồng độ chì vượt giới hạn cho phép ở 2/30 mẫu sản phẩm trong nước và 1/30 mẫu ngoại nhập.
,Nồng độ Asen vượt giới hạn cho phép ở 1/30 mẫu sản phẩm trong nước.
,Nồng độ Cadimi vượt giới hạn cho phép ở 2/30 mẫu sản phẩm trong nước.
,Lỗi nhập mã ICD-10 tại Bệnh viện Đa khoa tỉnh Quảng Ngãi
,"Đánh giá đặc điểm lâm sàng, cận lâm sàng và mối liên quan với di căn xương ở bệnh nhân ung thư biểu mô tế bào gan."
,"Di căn xương chiếm 32,3%, tổn thương xương chủ yếu ở thân đốt sống và xương hông."
,Bệnh nhân có AFP  300 UI / ml có tỷ lệ di căn xương cao hơn so với bệnh nhân có AFP  300 UI / ml.
,Kết luận: Di căn xương thường gặp ở bệnh nhân ung thư biểu mô tế bào gan và có liên quan đến tăng nồng độ AFP  300 UI / ml.
,"Đối tượng và phương pháp: Nghiên cứu mô tả cắt ngang trên bệnh nhân ung thư biểu mô tế bào gan điều trị tại Bệnh viện Trung ương Quân đội 108, từ tháng 7/2012 đến tháng 7/2015."
,Bệnh nhân được xạ hình xương toàn thân khoảng 3 giờ sau khi tiêm tĩnh mạch 15mCi Tc-99 m methylene diphosphonat.
,"Kết quả: 65 bệnh nhân được đưa vào nghiên cứu, gồm 58 nam và 7 nữ, tuổi trung bình 59  12 tuổi, từ 30 - 83 tuổi."
,"Các triệu chứng lâm sàng bao gồm đau hạ sườn phải, chán ăn, đầy bụng chiếm tỷ lệ cao 95,4%, 86,5%, 86,5%."
,Hầu hết bệnh nhân có  2 khối u nằm ở thuỳ phải hoặc cả hai thuỳ gan.
,"76,6% trường hợp có khối u  3cm, huyết khối tĩnh mạch cửa chiếm 49,2%."
,Khảo sát tình hình chăm sóc và các yếu tố liên quan ở nhân viên y tế tại Bệnh viện Đa khoa thành phố Vinh
,Nghiên cứu mô tả cắt ngang trên 800 hồ sơ bệnh án của 8 khoa chính của bệnh viện dựa trên tiêu chí của Bộ Y tế và phỏng vấn ngẫu nhiên 400 nhân viên y tế chịu trách nhiệm nhập mã ICD  10 bằng bộ câu hỏi tự điền.
,"Kết quả: Tỷ lệ bệnh án đạt tiêu chuẩn nhập mã ICD-10 là 64,5%, còn lại là bệnh án có sai sót (35,5%)."
,"57,5% nhân viên y tế đạt kiến thức tốt khi nhập mã ICD-10."
,"Các yếu tố ảnh hưởng đến việc nhập mã ICD-10 được tìm thấy là trình độ chuyên môn cao, tham gia các khoá đào tạo và cập nhật thông tin thường xuyên, tiếp cận các văn bản hướng dẫn và quy định liên quan đến việc tham gia."
,Ảnh hưởng của kích thước tiểu phân và tỷ lệ bao nang đến khả năng giải phóng dược chất của vi cầu rỗng chứa metronidazol
,Mô tả thực trạng và phân tích các yếu tố liên quan đến stress nghề nghiệp ở nhân viên y tế tại Bệnh viện Đa khoa thành phố Vinh năm 2021.
,"Mức thu nhập phù hợp với mức độ lao động; mức độ khá trong đánh giá kết quả lao động; mối quan hệ với cấp trên và đồng nghiệp cũng như thái độ xấu của bệnh nhân và gia đình là những yếu tố có thể gây stress cho nhân viên y tế (p  0,05)."
,Phương pháp nghiên cứu: Nghiên cứu mô tả cắt ngang với cỡ mẫu là 285 nhân viên y tế tại Bệnh viện Đa khoa thành phố Vinh từ tháng 4/2021 đến tháng 9/2021.
,"Kết quả: Tỷ lệ stress nghề nghiệp ở nhân viên y tế là 22,8%."
,"Trong đó, stress nhẹ chiếm 17,8%."
,"Stress trung bình là 4,2%, stress nặng và rất nặng đều chiếm 0,4%."
,Stress thường gặp ở nữ nhiều hơn nam.
,"Bác sĩ là đối tượng bị stress nhiều nhất (39,3%), ít nhất là nhân viên các khoa chức năng (14,3%)."
,"Nhóm tuổi từ 40 đến dưới 50 tuổi gặp nhiều nhất (31,6%)."
,"Mức độ cam kết làm việc, vấn đề thực hiện các nhiệm vụ ngoài nhiệm vụ, áp lực quá tải công việc, làm việc quá mức và mức độ hài lòng công việc có liên quan đến stress ở NVYT (p  0,05)."
,Cơn bão giáp trên bệnh nhân chấn thương
,Xây dựng các lô vi cầu xốp có kích thước trung bình và tỷ lệ bao bọc khác nhau.
,Các hạt vi cầu này sẽ được sử dụng để khảo sát ảnh hưởng của các đặc tính của quả cầu đối với việc giải phóng dược chất của chúng.
,Đối tượng và phương pháp nghiên cứu: Các hạt vi cầu chứa metronidazol được nghiên cứu.
,Các hạt vi cầu được điều chế bằng phương pháp nhũ tương hoá - phương pháp bay hơi dung môi.
,Kích thước và tỷ lệ đóng vòng và ảnh hưởng của chúng lên tốc độ giải phóng và động học của thuốc sẽ được tập trung.
,"Kết quả: Kích thước và tỷ lệ tải lượng thuốc có thể được kiểm soát thông qua nồng độ polyme, nồng độ thuốc trong pha dầu, nồng độ chất ổn định nhũ tương hoặc các thông số quy trình như tốc độ đồng nhất hoá và thời gian."
,Vi cầu có kích thước lớn hơn hoặc tỷ lệ tải cao hơn thể hiện khả năng giải phóng thuốc nhanh hơn.
,Thuốc được giải phóng từ các hạt vi cầu bằng cơ chế khuếch tán kết hợp với sự bào mòn chuỗi polyme.
